"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,298;0,0049666667;20220426 14:11:11;5;0,4;2;5;0,4;2
1;1,3;0,0216666667;20220426 14:11:12;5;0,41;2,05;5;0,4;2
2;2,301;0,03835;20220426 14:11:13;5;0,4;2;5;0,4;2
3;3,298;0,0549666667;20220426 14:11:14;5;0,41;2,05;5;0,4;2
4;4,303;0,0717166667;20220426 14:11:15;5;0,4;2;5;0,45;2,25
5;5,303;0,0883833333;20220426 14:11:16;5;0,41;2,05;5;0,4;2
6;6,3;0,105;20220426 14:11:17;5;0,41;2,05;5;0,4;2
7;7,302;0,1217;20220426 14:11:18;5;0,41;2,05;5;0,4;2
8;8,3;0,1383333333;20220426 14:11:19;5;0,41;2,05;5;0,4;2
9;9,302;0,1550333333;20220426 14:11:20;5;0,41;2,05;5;0,4;2
10;10,3;0,1716666667;20220426 14:11:21;5;0,41;2,05;5;0,4;2
11;11,3;0,1883333333;20220426 14:11:22;5;0,41;2,05;5;0,4;2
12;12,298;0,2049666667;20220426 14:11:23;5;0,4;2;5;0,4;2
13;13,304;0,2217333333;20220426 14:11:24;5;0,41;2,05;5;0,4;2
14;14,301;0,23835;20220426 14:11:25;5;0,41;2,05;5;0,4;2
15;15,3;0,255;20220426 14:11:26;5;0,41;2,05;5;0,4;2
16;16,298;0,2716333333;20220426 14:11:27;5;0,4;2;5;0,4;2
17;17,299;0,2883166667;20220426 14:11:28;5;0,41;2,05;5;0,4;2
18;18,302;0,3050333333;20220426 14:11:29;5;0,41;2,05;5;0,4;2
19;19,303;0,3217166667;20220426 14:11:30;5;0,41;2,05;5;0,4;2
20;20,303;0,3383833333;20220426 14:11:31;5;0,4;2;5;0,4;2
21;21,301;0,3550166667;20220426 14:11:32;5;0,41;2,05;5;0,4;2
22;22,3;0,3716666667;20220426 14:11:33;5;0,4;2;5;0,4;2
23;23,302;0,3883666667;20220426 14:11:34;5;0,41;2,05;5;0,4;2
24;24,299;0,4049833333;20220426 14:11:35;5;0,41;2,05;5;0,4;2
25;25,303;0,4217166667;20220426 14:11:36;5;0,4;2;5;0,4;2
26;26,303;0,4383833333;20220426 14:11:37;5;0,4;2;5;0,4;2
27;27,303;0,45505;20220426 14:11:38;5;0,4;2;5;0,4;2
28;28,301;0,4716833333;20220426 14:11:39;5;0,4;2;5;0,4;2
29;29,302;0,4883666667;20220426 14:11:40;5;0,4;2;5;0,4;2
30;30,299;0,5049833333;20220426 14:11:41;5;0,4;2;5;0,4;2
31;31,299;0,52165;20220426 14:11:42;5;0,4;2;5;0,4;2
32;32,303;0,5383833333;20220426 14:11:43;5;0,4;2;5;0,4;2
33;33,303;0,55505;20220426 14:11:44;5;0,4;2;5;0,4;2
34;34,303;0,5717166667;20220426 14:11:45;5;0,4;2;5;0,4;2
35;35,303;0,5883833333;20220426 14:11:46;5;0,41;2,05;5;0,4;2
36;36,298;0,6049666667;20220426 14:11:47;5;0,4;2;5;0,4;2
37;37,301;0,6216833333;20220426 14:11:48;5;0,41;2,05;5;0,4;2
38;38,303;0,6383833333;20220426 14:11:49;5;0,4;2;5;0,4;2
39;39,302;0,6550333333;20220426 14:11:50;5;0,41;2,05;5;0,4;2
40;40,298;0,6716333333;20220426 14:11:51;5;0,41;2,05;5;0,4;2
41;41,301;0,68835;20220426 14:11:52;5;0,41;2,05;5;0,4;2
42;42,298;0,7049666667;20220426 14:11:53;5;0,41;2,05;5;0,4;2
43;43,302;0,7217;20220426 14:11:54;5;0,41;2,05;5;0,4;2
44;44,299;0,7383166667;20220426 14:11:55;5;0,4;2;5;0,4;2
45;45,303;0,75505;20220426 14:11:56;5;0,4;2;5;0,4;2
46;46,302;0,7717;20220426 14:11:57;5;0,41;2,05;5;0,4;2
47;47,302;0,7883666667;20220426 14:11:58;5;0,4;2;5;0,4;2
48;48,302;0,8050333333;20220426 14:11:59;5;0,41;2,05;5;0,4;2
49;49,302;0,8217;20220426 14:12:00;5;0,4;2;5;0,4;2
50;50,302;0,8383666667;20220426 14:12:01;5;0,4;2;5;0,45;2,25
51;51,303;0,85505;20220426 14:12:02;5;0,4;2;5;0,4;2
52;52,302;0,8717;20220426 14:12:03;5;0,4;2;5;0,4;2
53;53,303;0,8883833333;20220426 14:12:04;5;0,4;2;5;0,4;2
54;54,303;0,90505;20220426 14:12:05;5;0,4;2;5;0,4;2
55;55,302;0,9217;20220426 14:12:06;5;0,4;2;5;0,4;2
56;56,303;0,9383833333;20220426 14:12:07;5;0,4;2;5;0,4;2
57;57,303;0,95505;20220426 14:12:08;5;0,41;2,05;5;0,4;2
58;58,302;0,9717;20220426 14:12:09;5;0,4;2;5;0,4;2
59;59,303;0,9883833333;20220426 14:12:10;5;0,41;2,05;5;0,41;2,05
60;60,303;1,00505;20220426 14:12:11;5;0,41;2,05;5;0,4;2
61;61,303;1,0217166667;20220426 14:12:12;5;0,41;2,05;5;0,4;2
62;62,303;1,0383833333;20220426 14:12:13;5;0,4;2;5;0,4;2
63;63,302;1,0550333333;20220426 14:12:14;5;0,4;2,05;5;0,4;2
64;64,302;1,0717;20220426 14:12:15;5;0,41;2,05;5;0,4;2
65;65,302;1,0883666667;20220426 14:12:16;5;0,4;2;5;0,4;2
66;66,302;1,1050333333;20220426 14:12:17;5;0,41;2,05;5;0,4;2
67;67,302;1,1217;20220426 14:12:18;5;0,42;2,1;5;0,4;2
68;68,302;1,1383666667;20220426 14:12:19;5;0,41;2,05;5;0,4;2
69;69,302;1,1550333333;20220426 14:12:20;5;0,4;2;5;0,4;2
70;70,302;1,1717;20220426 14:12:21;5;0,41;2,05;5;0,4;2
71;71,302;1,1883666667;20220426 14:12:22;5;0,41;2,05;5;0,4;2
72;72,303;1,20505;20220426 14:12:23;5;0,4;2;5;0,4;2
73;73,302;1,2217;20220426 14:12:24;5;0,41;2,05;5;0,4;2
74;74,302;1,2383666667;20220426 14:12:25;5;0,4;2;5;0,4;2
75;75,301;1,2550166667;20220426 14:12:26;5;0,4;2;5;0,4;2
76;76,302;1,2717;20220426 14:12:27;5;0,4;2;5;0,4;2
77;77,302;1,2883666667;20220426 14:12:28;5;0,4;2;5;0,4;2
78;78,302;1,3050333333;20220426 14:12:29;5;0,4;2;5;0,4;2
79;79,302;1,3217;20220426 14:12:30;5;0,4;2;5;0,4;2
80;80,299;1,3383166667;20220426 14:12:31;5;0,4;2;5;0,4;2
