"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
2161;2161,301;36,0216833333;20220426 14:47:12;5;0,4;2;5;0,41;2,05
2162;2162,302;36,0383666667;20220426 14:47:13;5;0,4;2;5;0,84;4,2
2163;2163,303;36,05505;20220426 14:47:14;5;0,64;3,2;5;0,49;2,45
2164;2164,3;36,0716666667;20220426 14:47:15;5;0,55;2,75;5;0,69;3,45
2165;2165,299;36,0883166667;20220426 14:47:16;5;0,41;2,05;5;0,8;4
2166;2166,302;36,1050333333;20220426 14:47:17;5;0,62;3,1;5;0,49;2,45
2167;2167,302;36,1217;20220426 14:47:18;5;0,45;2,25;5;0,63;3,15
2168;2168,302;36,1383666667;20220426 14:47:19;5;0,63;3,15;5;0,43;2,15
2169;2169,302;36,1550333333;20220426 14:47:20;5;0,49;2,45;5;0,76;3,8
2170;2170,3;36,1716666667;20220426 14:47:21;5;0,47;2,35;5;0,78;3,9
2171;2171,302;36,1883666667;20220426 14:47:22;5;0,47;2,35;5;0,76;3,8
2172;2172,302;36,2050333333;20220426 14:47:23;5;0,41;2,05;5;0,84;4,2
2173;2173,301;36,2216833333;20220426 14:47:24;5;0,61;3,05;5;0,48;2,4
2174;2174,301;36,23835;20220426 14:47:25;5;0,49;2,45;5;0,65;3,25
2175;2175,299;36,2549833333;20220426 14:47:26;5;0,41;2,05;5;0,49;2,45
2176;2176,302;36,2717;20220426 14:47:27;5;0,49;2,45;5;0,41;2,05
2177;2177,302;36,2883666667;20220426 14:47:28;5;0,45;2,25;5;0,51;2,55
2178;2178,299;36,3049833333;20220426 14:47:29;5;0,49;2,45;5;0,52;2,6
2179;2179,301;36,3216833333;20220426 14:47:30;5;0,63;3,15;5;0,49;2,45
2180;2180,303;36,3383833333;20220426 14:47:31;5;0,45;2,25;5;0,83;4,15
2181;2181,302;36,3550333333;20220426 14:47:32;5;0,45;2,25;5;0,82;4,1
2182;2182,299;36,37165;20220426 14:47:33;5;0,41;2,05;5;0,8;4
2183;2183,298;36,3883;20220426 14:47:34;5;0,46;2,3;5;0,76;3,8
2184;2184,3;36,405;20220426 14:47:35;5;0,41;2,05;5;0,75;3,75
2185;2185,298;36,4216333333;20220426 14:47:36;5;0,47;2,35;5;0,91;4,55
2186;2186,302;36,4383666667;20220426 14:47:37;5;0,45;2,25;5;0,76;3,8
2187;2187,302;36,4550333333;20220426 14:47:38;5;0,46;2,3;5;0,69;3,45
2188;2188,301;36,4716833333;20220426 14:47:39;5;0,46;2,3;5;0,82;4,1
