"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
0;0,335;0,0055833333;20220503 13:28:10;50;5;0,41;2,05;5;0,41;2,05
1;1,337;0,0222833333;20220503 13:28:11;50;5;0,41;2,05;5;0,41;2,05
2;2,336;0,0389333333;20220503 13:28:12;50;5;0,41;2,05;5;0,49;2,45
3;3,337;0,0556166667;20220503 13:28:13;50;5;0,41;2,05;5;0,49;2,45
4;4,337;0,0722833333;20220503 13:28:14;50;5;0,41;2,05;5;0,41;2,05
5;5,336;0,0889333333;20220503 13:28:15;50,25;5;0,41;2,05;5;0,41;2,05
6;6,336;0,1056;20220503 13:28:16;50,25;5;0,41;2,05;5;0,41;2,05
7;7,338;0,1223;20220503 13:28:17;50,25;5;0,41;2,05;5;0,41;2,05
8;8,339;0,1389833333;20220503 13:28:18;50;5;0,41;2,05;5;0,41;2,05
9;9,338;0,1556333333;20220503 13:28:19;50;5;0,41;2,05;5;0,41;2,05
10;10,336;0,1722666667;20220503 13:28:20;50;5;0,41;2,05;5;0,41;2,05
11;11,339;0,1889833333;20220503 13:28:21;50;5;0,41;2,05;5;0,41;2,05
12;12,339;0,20565;20220503 13:28:22;49,75;5;0,41;2,05;5;0,41;2,05
13;13,34;0,2223333333;20220503 13:28:23;49,75;5;0,41;2,05;5;0,41;2,05
14;14,337;0,23895;20220503 13:28:24;50;5;0,41;2,05;5;0,41;2,05
15;15,336;0,2556;20220503 13:28:25;50;5;0,41;2,05;5;0,41;2,05
16;16,336;0,2722666667;20220503 13:28:26;49,75;5;0,41;2,05;5;0,41;2,05
17;17,336;0,2889333333;20220503 13:28:27;49,75;5;0,41;2,05;5;0,41;2,05
18;18,335;0,3055833333;20220503 13:28:28;49,75;5;0,41;2,05;5;0,41;2,05
19;19,335;0,32225;20220503 13:28:29;49,5;5;0,41;2,05;5;0,41;2,05
20;20,339;0,3389833333;20220503 13:28:30;49,75;5;0,41;2,05;5;0,41;2,05
21;21,337;0,3556166667;20220503 13:28:31;49,75;5;0,41;2,05;5;0,41;2,05
22;22,336;0,3722666667;20220503 13:28:32;50;5;0,41;2,05;5;0,41;2,05
23;23,336;0,3889333333;20220503 13:28:33;49,75;5;0,41;2,05;5;0,41;2,05
24;24,337;0,4056166667;20220503 13:28:34;49,75;5;0,41;2,05;5;0,41;2,05
25;25,336;0,4222666667;20220503 13:28:35;49,75;5;0,41;2,05;5;0,41;2,05
