"index";"seconds";"minutes";"dateTime";"cli_temp";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
779;779,538;12,9923;20220506 15:03:54;49,75;5;0,41;2,05;5;0,7;3,5
780;780,54;13,009;20220506 15:03:55;49,75;5;0,49;2,45;5;0,67;3,35
781;781,541;13,0256833333;20220506 15:03:56;50,25;5;0,49;2,45;5;0,49;2,45
782;782,538;13,0423;20220506 15:03:57;50,75;5;0,49;2,45;5;0,74;3,7
783;783,538;13,0589666667;20220506 15:03:58;51,25;5;0,45;2,25;5;0,76;3,8
784;784,538;13,0756333333;20220506 15:03:59;52;5;0,49;2,45;5;0,64;3,2
785;785,539;13,0923166667;20220506 15:04:00;52,25;5;0,46;2,3;5;0,61;3,05
786;786,542;13,1090333333;20220506 15:04:01;52,75;5;0,49;2,45;5;0,59;2,95
787;787,54;13,1256666667;20220506 15:04:02;52,75;5;0,41;2,05;5;0,41;2,05
788;788,538;13,1423;20220506 15:04:03;53;5;0,41;2,05;5;0,71;3,55
789;789,538;13,1589666667;20220506 15:04:04;52,75;5;0,41;2,05;5;0,51;2,55
790;790,538;13,1756333333;20220506 15:04:05;52,5;5;0,41;2,05;5;0,49;2,45
791;791,569;13,1928166667;20220506 15:04:06;52,5;5;0,41;2,05;5;0,74;3,7
792;792,543;13,20905;20220506 15:04:07;52,5;5;0,41;2,05;5;0,41;2,05
793;793,539;13,22565;20220506 15:04:08;52,5;5;0,41;2,05;5;0,41;2,05
794;794,539;13,2423166667;20220506 15:04:09;52,25;5;0,41;2,05;5;0,49;2,45
795;795,542;13,2590333333;20220506 15:04:10;52,75;5;0,41;2,05;5;0,41;2,05
796;796,54;13,2756666667;20220506 15:04:11;52,5;5;0,41;2,05;5;0,7;3,5
797;797,542;13,2923666667;20220506 15:04:12;52,25;5;0,41;2,05;5;0,49;2,45
798;798,542;13,3090333333;20220506 15:04:13;52,5;5;0,41;2,05;5;0,57;2,85
799;799,542;13,3257;20220506 15:04:14;52,5;5;0,42;2,1;5;0,71;3,55
800;800,541;13,34235;20220506 15:04:15;52,25;5;0,41;2,05;5;0,49;2,45
801;801,543;13,35905;20220506 15:04:16;52,75;5;0,41;2,05;5;0,67;3,35
802;802,538;13,3756333333;20220506 15:04:17;52,5;5;0,41;2,05;5;0,72;3,6
803;803,54;13,3923333333;20220506 15:04:18;52,75;5;0,41;2,05;5;0,41;2,05
804;804,539;13,4089833333;20220506 15:04:19;52,75;5;0,41;2,05;5;0,44;2,2
805;805,544;13,4257333333;20220506 15:04:20;52,25;5;0,54;2,7;5;0,7;3,5
806;806,543;13,4423833333;20220506 15:04:21;52,75;5;0,41;2,05;5;0,41;2,05
