,index,runNumber,areas,meanPows,lengths,run,maxTemps,index2
0,1,runA1,331.99909999999994,3.4168367346938777,98,A,,0
1,2,runA2,560.8476249999999,3.56613924050633,158,A,,1
2,3,runA3,662.93145,3.5940540540540513,185,A,,2
3,4,runA4,598.5087749999998,3.554733727810647,169,A,,3
4,5,runA5,468.59277499999996,3.5186567164179094,134,A,,4
5,6,runA6,487.76944999999984,3.5028571428571427,140,A,,5
6,7,runA7,456.14507499999945,3.5531007751937973,129,A,,6
7,8,runA8,517.9411499999987,3.568493150684931,146,A,,7
8,1,runB1,480.05680000000007,3.4499999999999993,140,B,62.0,8
9,2,runB2,496.63380000000024,3.517605633802817,142,B,63.5,9
10,3,runB3,558.9293500000003,3.5780254777070044,157,B,65.0,10
11,4,runB4,481.78099999999995,3.5606617647058845,136,B,64.75,11
12,5,runB5,534.8944749999996,3.5576158940397353,151,B,65.75,12
13,6,runB6,777.8600250000002,3.5949308755760354,217,B,67.25,13
14,7,runB7,606.3597749999996,3.580000000000001,170,B,66.0,14
15,8,runB8,410.2987750000001,3.5341880341880327,117,B,64.75,15
16,9,runB9,673.5723499999999,3.6352150537634413,186,B,66.75,16
17,10,runB10,614.4545750000003,3.6070175438596483,171,B,67.0,17
18,1,runC1,461.93727499999994,3.444814814814816,135,C,61.75,18
19,2,runC2,378.15357499999976,3.4292792792792794,111,C,62.75,19
20,3,runC3,712.4942749999998,3.632233502538072,197,C,65.25,20
21,4,runC4,670.1705999999997,3.5959893048128353,187,C,66.0,21
22,1,runD1,800.1285500000001,3.6689497716895,219,D,63.5,22
23,2,runD2,565.7792250000001,3.5795597484276716,159,D,64.0,23
24,3,runD3,616.8498,3.5794797687861264,173,D,64.75,24
25,4,runD4,635.4417249999999,3.5831460674157296,178,D,64.75,25
26,5,runD5,807.5219750000001,3.669004524886878,221,D,65.75,26
27,6,runD6,693.0955249999997,3.567948717948719,195,D,65.5,27
28,7,runD7,867.6881749999991,3.6708860759493662,237,D,66.75,28
29,8,runD8,509.4204499999989,3.5565972222222246,144,D,65.5,29
30,9,runD9,379.6997249999992,3.4713636363636367,110,D,64.75,30
31,10,runD10,405.51339999999954,3.4893162393162402,117,D,63.75,31
32,1,runE1,809.2753,3.643946188340806,223,E,64.5,32
33,2,runE2,808.6043500000001,3.622544642857141,224,E,65.75,33
34,3,runE3,453.77565000000027,3.54031007751938,129,E,64.75,34
35,4,runE4,393.0967000000001,3.5383928571428576,112,E,64.5,35
36,5,runE5,412.7153000000003,3.4924369747899173,119,E,64.25,36
37,6,runE6,620.8440249999996,3.604913294797689,173,E,65.75,37
38,7,runE7,405.70569999999975,3.5224137931034476,116,E,64.5,38
