,index,runNumber,areas,meanPows,maxTemps,lengths,run,index2
0,1,runA1,136.5372750000001,3.2453488372093027,57.0,43,A,0
1,2,runA2,135.35182500000025,3.211627906976744,57.0,43,A,1
2,3,runA3,132.17817500000012,3.130232558139535,57.0,43,A,2
3,4,runA4,136.66907499999994,3.3214285714285707,57.25,42,A,3
4,5,runA5,132.14395000000016,3.143023255813953,57.5,43,A,4
5,6,runA6,133.09320000000008,3.2369047619047615,57.5,42,A,5
6,7,runA7,135.84315000000007,3.2244186046511625,57.25,43,A,6
7,8,runA8,137.13655000000074,3.1693181818181815,57.75,44,A,7
8,9,runA9,130.9638499999996,3.199999999999999,57.25,42,A,8
9,10,runA10,131.17127499999918,3.19047619047619,57.25,42,A,9
10,1,runB1,134.36229999999995,3.191860465116279,,43,B,10
11,2,runB2,132.1859499999997,3.2166666666666672,,42,B,11
12,3,runB3,127.37502500000008,3.092857142857143,,42,B,12
13,4,runB4,131.73145000000002,3.2095238095238092,,42,B,13
14,5,runB5,131.0837999999998,3.1904761904761907,,42,B,14
15,6,runB6,134.01209999999992,3.172093023255815,,43,B,15
16,1,runC1,138.36829999999986,3.2848837209302326,56.75,43,C,16
17,2,runC2,139.01250000000027,3.286046511627908,57.25,43,C,17
18,3,runC3,132.29314999999986,3.1546511627906972,57.25,43,C,18
19,4,runC4,127.33345000000003,3.184146341463414,57.75,41,C,19
20,5,runC5,132.06857499999995,3.1999999999999993,58.0,42,C,20
21,6,runC6,132.2824749999997,3.2190476190476187,57.75,42,C,21
22,7,runC7,137.8635250000001,3.268604651162791,57.75,43,C,22
23,8,runC8,129.97032499999986,3.1523809523809527,57.25,42,C,23
24,9,runC9,141.8058249999997,3.346511627906976,57.25,43,C,24
25,10,runC10,135.57244999999955,3.2857142857142856,57.25,42,C,25
26,1,runD1,128.09857499999987,3.1926829268292685,53.75,41,D,26
27,2,runD2,133.78404999999998,3.2404761904761905,54.5,42,D,27
28,3,runD3,129.45185000000026,3.1404761904761904,54.75,42,D,28
29,4,runD4,131.6584999999999,3.1880952380952383,55.0,42,D,29
30,5,runD5,134.505475,3.1837209302325578,55.5,43,D,30
31,6,runD6,136.93854999999994,3.167045454545455,55.5,44,D,31
32,7,runD7,134.510125,3.1953488372093033,55.5,43,D,32
33,8,runD8,140.90985000000018,3.2568181818181827,56.25,44,D,33
34,9,runD9,128.70895000000036,3.1238095238095234,55.75,42,D,34
