,index,runNumber,areas,meanPows,lengths,run,index2
0,1,runA1,212.95434999999995,2.1933673469387758,98,A,0
1,2,runA2,333.753375,2.1250000000000004,158,A,1
2,3,runA3,387.0165499999998,2.103783783783784,185,A,2
3,4,runA4,356.6774749999998,2.123964497041421,169,A,3
4,5,runA5,287.32192499999996,2.160447761194032,134,A,4
5,6,runA6,298.2516999999999,2.14464285714286,140,A,5
6,7,runA7,276.2763250000001,2.157364341085274,129,A,6
7,8,runA8,310.3204249999991,2.1393835616438373,146,A,7
8,1,runB1,309.3115,2.223928571428577,140,B,8
9,2,runB2,303.110175,2.148943661971836,142,B,9
10,3,runB3,336.1473750000001,2.1541401273885405,157,B,10
11,4,runB4,294.9992,2.184191176470594,136,B,11
12,5,runB5,322.59702500000003,2.1500000000000057,151,B,12
13,6,runB6,458.10220000000015,2.120967741935491,217,B,13
14,7,runB7,361.8139500000003,2.1405882352941243,170,B,14
15,8,runB8,253.93770000000023,2.1880341880341927,117,B,15
16,9,runB9,396.0650750000001,2.1405913978494686,186,B,16
17,10,runB10,363.4035750000004,2.1406432748538076,171,B,17
18,1,runC1,290.1728249999999,2.16481481481482,135,C,18
19,2,runC2,239.7971999999997,2.179279279279284,111,C,19
20,3,runC3,420.2920499999999,2.1439086294416305,197,C,20
21,4,runC4,396.45904999999976,2.131016042780755,187,C,21
22,1,runD1,462.74855000000014,2.1223744292237514,219,D,22
23,2,runD2,340.31260000000015,2.1531446540880554,159,D,23
24,3,runD3,368.20084999999995,2.140173410404631,173,D,24
25,4,runD4,379.64254999999986,2.144382022471916,178,D,25
26,5,runD5,468.50602499999985,2.129185520361998,221,D,26
27,6,runD6,410.94119999999907,2.117948717948724,195,D,27
28,7,runD7,500.7473249999998,2.1215189873417795,237,D,28
29,8,runD8,309.4415749999987,2.163194444444449,144,D,29
30,9,runD9,241.2980999999999,2.2122727272727314,110,D,30
31,10,runD10,253.3072249999996,2.182478632478637,117,D,31
32,1,runE1,473.70755000000014,2.1334080717488857,223,E,32
33,2,runE2,471.34052500000007,2.113392857142864,224,E,33
34,3,runE3,279.35917499999977,2.1813953488372144,129,E,34
35,4,runE4,245.3075999999998,2.208482142857147,112,E,35
36,5,runE5,259.99180000000024,2.202100840336138,119,E,36
37,6,runE6,369.4083749999993,2.1471098265896016,173,E,37
38,7,runE7,250.84984999999972,2.180172413793107,116,E,38
