,index,seconds,minutes,dateTime,ser_vol,ser_cur,ser_pow,cli_vol,cli_cur,cli_pow,newIndex,cli_temp
0,444,444.299,7.4049833333,20220426 14:18:35,5,0.4,2.0,5,0.4,2.0,0,
1,445,445.298,7.4216333333,20220426 14:18:36,5,0.41,2.05,5,0.7,3.5,1,
2,446,446.301,7.43835,20220426 14:18:37,5,0.63,3.15,5,0.4,2.0,2,
3,447,447.301,7.4550166667,20220426 14:18:38,5,0.49,2.45,5,0.69,3.45,3,
4,448,448.298,7.4716333333,20220426 14:18:39,5,0.41,2.05,5,0.68,3.4,4,
5,449,449.299,7.4883166667,20220426 14:18:40,5,0.63,3.15,5,0.52,2.6,5,
6,450,450.302,7.5050333333,20220426 14:18:41,5,0.49,2.45,5,0.64,3.2,6,
7,451,451.3,7.5216666667,20220426 14:18:42,5,0.63,3.15,5,0.52,2.6,7,
8,452,452.303,7.5383833333,20220426 14:18:43,5,0.49,2.45,5,0.72,3.6,8,
9,453,453.301,7.5550166667,20220426 14:18:44,5,0.47,2.35,5,0.77,3.85,9,
10,454,454.298,7.5716333333,20220426 14:18:45,5,0.47,2.35,5,0.55,2.75,10,
11,455,455.303,7.5883833333,20220426 14:18:46,5,0.45,2.25,5,0.62,3.1,11,
12,456,456.303,7.60505,20220426 14:18:47,5,0.4,2.0,5,0.68,3.4,12,
13,457,457.302,7.6217,20220426 14:18:48,5,0.63,3.15,5,0.49,2.45,13,
14,458,458.298,7.6383,20220426 14:18:49,5,0.49,2.45,5,0.64,3.2,14,
15,459,459.303,7.65505,20220426 14:18:50,5,0.4,2.0,5,0.67,3.35,15,
16,460,460.3,7.6716666667,20220426 14:18:51,5,0.64,3.2,5,0.46,2.3,16,
17,461,461.299,7.6883166667,20220426 14:18:52,5,0.52,2.6,5,0.63,3.15,17,
18,462,462.299,7.7049833333,20220426 14:18:53,5,0.64,3.2,5,0.64,3.2,18,
19,463,463.303,7.7217166667,20220426 14:18:54,5,0.63,3.15,5,0.54,2.7,19,
20,464,464.3,7.7383333333,20220426 14:18:55,5,0.49,2.45,5,0.83,4.15,20,
21,465,465.299,7.7549833333,20220426 14:18:56,5,0.46,2.3,5,0.73,3.65,21,
22,466,466.302,7.7717,20220426 14:18:57,5,0.4,2.0,5,0.75,3.75,22,
23,467,467.3,7.7883333333,20220426 14:18:58,5,0.44,2.2,5,0.87,4.35,23,
24,468,468.298,7.8049666667,20220426 14:18:59,5,0.45,2.25,5,0.69,3.45,24,
25,469,469.3,7.8216666667,20220426 14:19:00,5,0.45,2.25,5,0.79,3.95,25,
26,470,470.303,7.8383833333,20220426 14:19:01,5,0.45,2.25,5,0.75,3.75,26,
27,471,471.302,7.8550333333,20220426 14:19:02,5,0.41,2.05,5,0.77,3.85,27,
28,472,472.299,7.87165,20220426 14:19:03,5,0.45,2.25,5,0.62,3.1,28,
29,473,473.302,7.8883666667,20220426 14:19:04,5,0.46,2.3,5,0.81,4.05,29,
30,474,474.302,7.9050333333,20220426 14:19:05,5,0.41,2.05,5,0.73,3.65,30,
31,475,475.303,7.9217166667,20220426 14:19:06,5,0.45,2.25,5,0.73,3.65,31,
32,476,476.301,7.93835,20220426 14:19:07,5,0.45,2.25,5,0.74,3.7,32,
33,477,477.303,7.95505,20220426 14:19:08,5,0.41,2.05,5,0.76,3.8,33,
34,478,478.3,7.9716666667,20220426 14:19:09,5,0.4,2.0,5,0.75,3.75,34,
35,479,479.298,7.9883,20220426 14:19:10,5,0.42,2.1,5,0.62,3.1,35,
36,480,480.301,8.0050166667,20220426 14:19:11,5,0.46,2.3,5,0.67,3.35,36,
37,481,481.298,8.0216333333,20220426 14:19:12,5,0.46,2.3,5,0.7,3.5,37,
38,482,482.303,8.0383833333,20220426 14:19:13,5,0.4,2.0,5,0.79,3.95,38,
39,483,483.304,8.0550666667,20220426 14:19:14,5,0.4,2.0,5,0.77,3.85,39,
40,484,484.303,8.0717166667,20220426 14:19:15,5,0.41,2.05,5,0.66,3.3,40,
41,485,485.302,8.0883666667,20220426 14:19:16,5,0.4,2.0,5,0.75,3.75,41,
42,486,486.303,8.10505,20220426 14:19:17,5,0.44,2.2,5,0.82,4.1,42,
43,487,487.3,8.1216666667,20220426 14:19:18,5,0.41,2.05,5,0.74,3.7,43,
44,488,488.298,8.1383,20220426 14:19:19,5,0.41,2.05,5,0.63,3.15,44,
45,489,489.298,8.1549666667,20220426 14:19:20,5,0.4,2.0,5,0.75,3.75,45,
46,490,490.302,8.1717,20220426 14:19:21,5,0.4,2.0,5,0.77,3.85,46,
47,491,491.298,8.1883,20220426 14:19:22,5,0.4,2.0,5,0.72,3.6,47,
48,492,492.3,8.205,20220426 14:19:23,5,0.41,2.05,5,0.63,3.15,48,
49,493,493.302,8.2217,20220426 14:19:24,5,0.4,2.0,5,0.78,3.9,49,
50,494,494.3,8.2383333333,20220426 14:19:25,5,0.4,2.0,5,0.8,4.0,50,
51,495,495.299,8.2549833333,20220426 14:19:26,5,0.43,2.15,5,0.73,3.65,51,
52,496,496.298,8.2716333333,20220426 14:19:27,5,0.41,2.05,5,0.77,3.85,52,
53,497,497.303,8.2883833333,20220426 14:19:28,5,0.46,2.3,5,0.85,4.25,53,
54,498,498.301,8.3050166667,20220426 14:19:29,5,0.45,2.25,5,0.74,3.7,54,
55,499,499.298,8.3216333333,20220426 14:19:30,5,0.45,2.25,5,0.68,3.4,55,
56,500,500.302,8.3383666667,20220426 14:19:31,5,0.41,2.05,5,0.75,3.75,56,
57,501,501.298,8.3549666667,20220426 14:19:32,5,0.46,2.3,5,0.8,4.0,57,
58,502,502.301,8.3716833333,20220426 14:19:33,5,0.4,2.0,5,0.75,3.75,58,
59,503,503.298,8.3883,20220426 14:19:34,5,0.4,2.0,5,0.77,3.85,59,
60,504,504.301,8.4050166667,20220426 14:19:35,5,0.46,2.3,5,0.76,3.8,60,
61,505,505.3,8.4216666667,20220426 14:19:36,5,0.4,2.0,5,0.77,3.85,61,
62,506,506.302,8.4383666667,20220426 14:19:37,5,0.4,2.0,5,0.68,3.4,62,
63,507,507.301,8.4550166667,20220426 14:19:38,5,0.4,2.0,5,0.8,4.0,63,
64,508,508.298,8.4716333333,20220426 14:19:39,5,0.4,2.0,5,0.77,3.85,64,
65,509,509.303,8.4883833333,20220426 14:19:40,5,0.4,2.0,5,0.63,3.15,65,
66,510,510.302,8.5050333333,20220426 14:19:41,5,0.4,2.0,5,0.75,3.75,66,
67,511,511.299,8.52165,20220426 14:19:42,5,0.4,2.0,5,0.77,3.85,67,
68,512,512.299,8.5383166667,20220426 14:19:43,5,0.4,2.0,5,0.86,4.3,68,
69,513,513.302,8.5550333333,20220426 14:19:44,5,0.41,2.05,5,0.81,4.05,69,
70,514,514.301,8.5716833333,20220426 14:19:45,5,0.4,2.0,5,0.65,3.25,70,
71,515,515.299,8.5883166667,20220426 14:19:46,5,0.4,2.0,5,0.81,4.05,71,
72,516,516.299,8.6049833333,20220426 14:19:47,5,0.4,2.0,5,0.63,3.15,72,
73,517,517.298,8.6216333333,20220426 14:19:48,5,0.4,2.0,5,0.64,3.2,73,
74,518,518.301,8.63835,20220426 14:19:49,5,0.4,2.0,5,0.8,4.0,74,
75,519,519.298,8.6549666667,20220426 14:19:50,5,0.4,2.0,5,0.71,3.55,75,
76,520,520.302,8.6717,20220426 14:19:51,5,0.4,2.0,5,0.74,3.7,76,
77,521,521.299,8.6883166667,20220426 14:19:52,5,0.4,2.0,5,0.86,4.3,77,
78,522,522.303,8.70505,20220426 14:19:53,5,0.4,2.0,5,0.83,4.15,78,
79,523,523.301,8.7216833333,20220426 14:19:54,5,0.43,2.15,5,0.85,4.25,79,
80,524,524.303,8.7383833333,20220426 14:19:55,5,0.4,2.0,5,0.5,2.5,80,
81,525,525.303,8.75505,20220426 14:19:56,5,0.4,2.0,5,0.72,3.6,81,
82,526,526.299,8.77165,20220426 14:19:57,5,0.4,2.0,5,0.5,2.5,82,
83,527,527.301,8.78835,20220426 14:19:58,5,0.4,2.0,5,0.65,3.25,83,
84,528,528.299,8.8049833333,20220426 14:19:59,5,0.4,2.0,5,0.48,2.4,84,
85,529,529.3,8.8216666667,20220426 14:20:00,5,0.4,2.0,5,0.51,2.55,85,
86,530,530.298,8.8383,20220426 14:20:01,5,0.45,2.25,5,0.52,2.6,86,
87,531,531.3,8.855,20220426 14:20:02,5,0.4,2.0,5,0.42,2.1,87,
88,532,532.301,8.8716833333,20220426 14:20:03,5,0.4,2.0,5,0.68,3.4,88,
89,533,533.302,8.8883666667,20220426 14:20:04,5,0.4,2.0,5,0.47,2.35,89,
