,index,seconds,minutes,dateTime,cli_temp,ser_vol,ser_cur,ser_pow,cli_vol,cli_cur,cli_pow,newIndex
0,446,446.685,7.44475,20220503 17:36:47,50.0,5,0.41,2.05,5,0.43,2.15,0
1,447,447.685,7.4614166667,20220503 17:36:48,50.0,5,0.41,2.05,5,0.64,3.2,1
2,448,448.689,7.47815,20220503 17:36:49,50.0,5,0.5,2.5,5,0.56,2.8,2
3,449,449.686,7.4947666667,20220503 17:36:50,50.5,5,0.5,2.5,5,0.62,3.1,3
4,450,450.687,7.51145,20220503 17:36:51,51.0,5,0.46,2.3,5,0.81,4.05,4
5,451,451.685,7.5280833333,20220503 17:36:52,51.25,5,0.41,2.05,5,0.75,3.75,5
6,452,452.686,7.5447666667,20220503 17:36:53,52.25,5,0.41,2.05,5,0.57,2.85,6
7,453,453.684,7.5614,20220503 17:36:54,53.25,5,0.56,2.8,5,0.6,3.0,7
8,454,454.687,7.5781166667,20220503 17:36:55,53.5,5,0.46,2.3,5,0.68,3.4,8
9,455,455.685,7.59475,20220503 17:36:56,53.5,5,0.48,2.4,5,0.53,2.65,9
10,456,456.684,7.6114,20220503 17:36:57,53.75,5,0.41,2.05,5,0.87,4.35,10
11,457,457.687,7.6281166667,20220503 17:36:58,54.25,5,0.41,2.05,5,0.82,4.1,11
12,458,458.685,7.64475,20220503 17:36:59,54.75,5,0.41,2.05,5,0.41,2.05,12
13,459,459.684,7.6614,20220503 17:37:00,54.75,5,0.41,2.05,5,0.69,3.45,13
14,460,460.689,7.67815,20220503 17:37:01,54.25,5,0.47,2.35,5,0.73,3.65,14
15,461,461.684,7.6947333333,20220503 17:37:02,54.25,5,0.41,2.05,5,0.61,3.05,15
16,462,462.684,7.7114,20220503 17:37:03,54.75,5,0.41,2.05,5,0.41,2.05,16
17,463,463.684,7.7280666667,20220503 17:37:04,54.75,5,0.41,2.05,5,0.82,4.1,17
18,464,464.687,7.7447833333,20220503 17:37:05,54.0,5,0.45,2.25,5,0.83,4.15,18
19,465,465.684,7.7614,20220503 17:37:06,54.5,5,0.41,2.05,5,0.49,2.45,19
20,466,466.688,7.7781333333,20220503 17:37:07,54.75,5,0.41,2.05,5,0.41,2.05,20
21,467,467.689,7.7948166667,20220503 17:37:08,54.25,5,0.41,2.05,5,0.76,3.8,21
22,468,468.687,7.81145,20220503 17:37:09,54.0,5,0.46,2.3,5,0.83,4.15,22
23,469,469.689,7.82815,20220503 17:37:10,54.5,5,0.41,2.05,5,0.49,2.45,23
24,470,470.689,7.8448166667,20220503 17:37:11,55.25,5,0.41,2.05,5,0.41,2.05,24
25,471,471.686,7.8614333333,20220503 17:37:12,55.0,5,0.41,2.05,5,0.8,4.0,25
26,472,472.688,7.8781333333,20220503 17:37:13,54.25,5,0.46,2.3,5,0.83,4.15,26
27,473,473.684,7.8947333333,20220503 17:37:14,54.5,5,0.41,2.05,5,0.64,3.2,27
28,474,474.686,7.9114333333,20220503 17:37:15,55.0,5,0.41,2.05,5,0.49,2.45,28
29,475,475.685,7.9280833333,20220503 17:37:16,55.25,5,0.41,2.05,5,0.8,4.0,29
30,476,476.686,7.9447666667,20220503 17:37:17,55.0,5,0.46,2.3,5,0.81,4.05,30
31,477,477.687,7.96145,20220503 17:37:18,55.5,5,0.41,2.05,5,0.5,2.5,31
32,478,478.685,7.9780833333,20220503 17:37:19,56.0,5,0.41,2.05,5,0.41,2.05,32
33,479,479.688,7.9948,20220503 17:37:20,55.5,5,0.41,2.05,5,0.8,4.0,33
34,480,480.684,8.0114,20220503 17:37:21,55.25,5,0.41,2.05,5,0.65,3.25,34
35,481,481.685,8.0280833333,20220503 17:37:22,55.75,5,0.41,2.05,5,0.66,3.3,35
36,482,482.689,8.0448166667,20220503 17:37:23,56.25,5,0.41,2.05,5,0.75,3.75,36
